Time,CpuTime (minutes),Memory (MB),Memory_Percentage,CPU_Percentage,Requests,Http5xx,Http4xx,AverageResponseTime
2025-03-18 10:08:00,13.95,67.86,3.79,279.00,1.00,0,0,0.06
2025-03-18 10:13:00,13.40,66.67,3.72,267.93,1.00,0,0,0.01
2025-03-18 10:18:00,12.63,67.47,3.77,252.53,1.00,0,0,0.03
2025-03-18 10:23:00,12.85,67.51,3.77,257.07,1.00,0,0,0.03
2025-03-18 10:28:00,12.63,67.52,3.77,252.67,1.00,0,0,0.07
2025-03-18 10:33:00,13.08,67.15,3.75,261.60,1.00,0,0,0.06
2025-03-18 10:38:00,12.57,66.14,3.69,251.33,1.00,0,0,0.02
2025-03-18 10:43:00,12.89,66.92,3.73,257.73,1.00,0,0,0.02
2025-03-18 10:48:00,12.93,66.89,3.73,258.53,1.00,0,0,0.01
2025-03-18 10:53:00,12.83,65.54,3.66,256.53,1.00,0,0,0.06
2025-03-18 10:58:00,13.37,66.16,3.69,267.33,1.00,0,0,0.07
2025-03-18 11:03:00,13.09,65.66,3.66,261.87,1.00,0,0,0.02
2025-03-18 11:08:00,12.56,65.80,3.67,251.20,1.00,0,0,0.02
2025-03-18 11:13:00,13.02,64.53,3.60,260.47,1.00,0,0,0.01
2025-03-18 11:18:00,12.69,65.54,3.66,253.87,1.00,0,0,0.03
2025-03-18 11:23:00,12.29,64.69,3.61,245.87,1.00,0,0,0.02
2025-03-18 11:28:00,13.44,63.25,3.53,268.80,1.00,0,0,0.07
2025-03-18 11:33:00,13.44,64.65,3.61,268.73,1.00,0,0,0.05
2025-03-18 11:38:00,12.64,62.40,3.48,252.87,1.00,0,0,0.06
2025-03-18 11:43:00,12.99,63.07,3.52,259.73,1.00,0,0,0.03
2025-03-18 11:48:00,12.76,62.72,3.50,255.20,1.00,0,0,0.03
2025-03-18 11:53:00,13.36,63.67,3.55,267.20,1.00,0,0,0.07
2025-03-18 11:58:00,13.48,62.03,3.46,269.60,1.00,0,0,0.02
2025-03-18 12:03:00,13.61,61.82,3.45,272.27,1.00,0,0,0.01
2025-03-18 12:08:00,14.31,61.67,3.44,286.13,1.00,0,0,0.04
2025-03-18 12:13:00,13.22,61.60,3.44,264.33,1.00,0,0,0.04
2025-03-18 12:18:00,13.29,61.51,3.43,265.80,1.00,0,0,0.02
2025-03-18 12:23:00,12.36,61.50,3.43,247.20,1.00,0,0,0.10
2025-03-18 12:28:00,12.78,60.66,3.39,255.53,1.00,0,0,0.03
2025-03-18 12:33:00,13.41,60.40,3.37,268.20,1.00,0,0,0.06
2025-03-18 12:38:00,12.29,59.92,3.34,245.73,1.00,0,0,0.05
2025-03-18 12:43:00,12.94,59.88,3.34,258.80,1.00,0,0,0.10
2025-03-18 12:48:00,12.95,59.10,3.30,259.00,1.00,0,0,0.03
2025-03-18 12:53:00,12.71,57.92,3.23,254.13,1.00,0,0,0.03
2025-03-18 12:58:00,12.73,59.11,3.30,254.67,1.00,0,0,0.06
2025-03-18 13:03:00,13.36,59.01,3.29,267.20,1.00,0,0,0.01
2025-03-18 13:08:00,12.43,58.52,3.27,248.53,1.00,0,0,0.05
2025-03-18 13:13:00,12.92,59.16,3.30,258.33,1.00,0,0,0.05
2025-03-18 13:18:00,13.20,56.86,3.17,263.93,1.00,0,0,0.03
2025-03-18 13:23:00,12.89,56.81,3.17,257.87,1.00,0,0,0.03
2025-03-18 13:28:00,12.62,59.19,3.30,252.40,1.00,0,0,0.04
2025-03-18 13:33:00,13.20,59.55,3.32,264.00,1.00,0,0,0.03
2025-03-18 13:38:00,11.98,57.66,3.22,239.60,1.00,0,0,0.05
2025-03-18 13:43:00,12.76,57.53,3.21,255.13,1.00,0,0,0.05
2025-03-18 13:48:00,23.77,57.39,3.20,475.33,1.00,0,0,0.12
2025-03-18 13:53:00,12.77,73.93,4.13,255.33,1.00,0,0,0.03
2025-03-18 13:58:00,12.18,65.85,3.67,243.53,1.00,0,0,0.01
2025-03-18 14:03:00,12.24,61.03,3.41,244.87,1.00,0,0,0.04
2025-03-18 14:08:00,12.29,55.93,3.12,245.87,1.00,0,0,0.02
2025-03-18 14:13:00,13.02,53.31,2.97,260.40,1.00,0,0,0.01
2025-03-18 14:18:00,12.86,53.53,2.99,257.13,1.00,0,0,0.01
2025-03-18 14:23:00,12.08,52.89,2.95,241.53,1.00,0,0,0.03
2025-03-18 14:28:00,12.62,53.74,3.00,252.47,1.00,0,0,0.02
2025-03-18 14:33:00,12.26,52.31,2.92,245.20,1.00,0,0,0.10
2025-03-18 14:38:00,12.27,52.71,2.94,245.33,1.00,0,0,0.01
2025-03-18 14:43:00,12.52,53.19,2.97,250.47,1.00,0,0,0.01
2025-03-18 14:48:00,12.63,52.80,2.95,252.60,1.00,0,0,0.01
2025-03-18 14:53:00,12.19,52.60,2.94,243.87,1.00,0,0,0.01
2025-03-18 14:58:00,12.89,51.07,2.85,257.87,1.00,0,0,0.02
2025-03-18 15:03:00,12.23,51.68,2.88,244.67,1.00,0,0,0.01
2025-03-18 15:08:00,12.49,50.72,2.83,249.87,1.00,0,0,0.02
2025-03-18 15:13:00,12.53,51.39,2.87,250.67,1.00,0,0,0.01
2025-03-18 15:18:00,13.07,51.91,2.90,261.47,1.00,0,0,0.01
2025-03-18 15:23:00,11.94,50.37,2.81,238.80,1.00,0,0,0.01
2025-03-18 15:28:00,12.29,51.62,2.88,245.73,1.00,0,0,0.02
2025-03-18 15:33:00,12.97,50.42,2.81,259.47,1.00,0,0,0.01
2025-03-18 15:38:00,12.01,49.84,2.78,240.13,1.00,0,0,0.01
2025-03-18 15:43:00,12.60,50.88,2.84,252.07,1.00,0,0,0.07
2025-03-18 15:48:00,12.52,50.70,2.83,250.40,1.00,0,0,0.01
2025-03-18 15:53:00,12.58,51.00,2.85,251.60,1.00,0,0,0.01
2025-03-18 15:58:00,12.46,51.26,2.86,249.13,1.00,0,0,0.01
2025-03-18 16:03:00,12.44,51.46,2.87,248.73,1.00,0,0,0.04
2025-03-18 16:08:00,12.57,50.34,2.81,251.33,1.00,0,0,0.00
2025-03-18 16:13:00,12.32,52.22,2.91,246.47,1.00,0,0,0.02
2025-03-18 16:18:00,12.75,51.79,2.89,255.07,1.00,0,0,0.02
2025-03-18 16:23:00,12.53,50.36,2.81,250.60,1.00,0,0,0.08
2025-03-18 16:28:00,12.24,50.38,2.81,244.80,1.00,0,0,0.01
2025-03-18 16:33:00,12.90,50.71,2.83,258.07,1.00,0,0,0.02
2025-03-18 16:38:00,13.07,50.05,2.79,261.40,2.50,0,0,0.02
2025-03-18 16:43:00,12.31,50.84,2.84,246.13,1.00,0,0,0.02
2025-03-18 16:48:00,12.29,51.76,2.89,245.73,1.00,0,0,0.02
2025-03-18 16:53:00,12.83,51.77,2.89,256.60,1.00,0,0,0.02
2025-03-18 16:58:00,14.02,50.74,2.83,280.40,1.00,0,0,0.01
2025-03-18 17:03:00,12.83,50.58,2.82,256.53,1.00,0,0,0.01
2025-03-18 17:08:00,12.66,50.96,2.84,253.27,1.00,0,0,0.01
2025-03-18 17:13:00,13.11,52.05,2.90,262.13,1.00,0,0,0.01
2025-03-18 17:18:00,12.20,50.53,2.82,243.93,1.00,0,0,0.02
2025-03-18 17:23:00,12.20,50.91,2.84,244.07,1.00,0,0,0.01
2025-03-18 17:28:00,13.08,50.52,2.82,261.67,1.00,0,0,0.01
2025-03-18 17:33:00,12.41,49.99,2.79,248.20,1.00,0,0,0.01
2025-03-18 17:38:00,12.50,52.03,2.90,249.93,1.00,0,0,0.01
2025-03-18 17:43:00,13.08,51.72,2.89,261.67,1.00,0,0,0.01
